modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,cobertura_investigacion,error
qwen2.5-14b-ctx16k,revisa,0,1,316.5,54,55,44,0.8148148148148148,0.7592592592592593,0.9761904761904762,42,13,3,1885;5413;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,0,2,310.4,54,55,44,0.8148148148148148,0.7592592592592593,0.9761904761904762,42,13,3,1885;5413;12377,10,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,1,293.1,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,1,2,293.2,51,53,41,0.803921568627451,0.7843137254901961,0.9302325581395349,43,10,1,3693,9,INCOMPLETO,False,0.0,1.0,
qwen2.5-14b-ctx16k,revisa,2,1,339.3,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,2,2,322.0,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,3,1,266.0,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,FIABLE,True,1.0,1.0,
qwen2.5-14b-ctx16k,revisa,3,2,266.1,26,32,18,0.6923076923076923,0.6923076923076923,0.75,24,8,0,,8,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,0,1,594.2,54,55,44,0.8148148148148148,0.7962962962962963,0.8431372549019608,51,4,1,12377,3,INCOMPLETO,False,0.873,1.0,
gpt-oss-20b-ctx16k,revisa,0,2,492.2,54,55,44,0.8148148148148148,0.7962962962962963,0.8269230769230769,52,3,1,12377,2,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,1,1,512.8,51,53,41,0.803921568627451,0.7843137254901961,0.8333333333333334,48,5,1,3693,4,INCOMPLETO,False,0.132,1.0,
gpt-oss-20b-ctx16k,revisa,1,2,475.2,51,53,41,0.803921568627451,0.7843137254901961,0.8,50,3,1,3693,2,FIABLE,True,1.0,1.0,
gpt-oss-20b-ctx16k,revisa,2,1,393.9,38,42,27,0.7105263157894737,0.7105263157894737,0.7105263157894737,38,4,0,,4,INCOMPLETO,False,0.333,1.0,
gpt-oss-20b-ctx16k,revisa,2,2,391.0,38,42,27,0.7105263157894737,0.7105263157894737,0.7105263157894737,38,4,0,,4,INCOMPLETO,False,0.786,1.0,
gpt-oss-20b-ctx16k,revisa,3,1,345.7,26,32,18,0.6923076923076923,0.6923076923076923,0.5806451612903226,31,1,0,,1,INCOMPLETO,False,0.938,1.0,
gpt-oss-20b-ctx16k,revisa,3,2,345.6,26,32,18,0.6923076923076923,0.6923076923076923,0.6,30,2,0,,2,INCOMPLETO,False,0.938,1.0,
llama3.1-8b-ctx16k,revisa,0,1,226.9,54,55,44,0.8148148148148148,0.7777777777777778,0.9130434782608695,46,9,2,1885;12377,7,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,0,2,172.5,54,55,44,0.8148148148148148,0.7777777777777778,0.9545454545454546,44,11,2,1885;12377,9,INCOMPLETO,False,0.0,1.0,
llama3.1-8b-ctx16k,revisa,1,1,144.0,51,53,41,0.803921568627451,0.7647058823529411,0.8666666666666667,45,8,2,3693;13434,6,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,1,2,152.2,51,53,41,0.803921568627451,0.7647058823529411,0.8863636363636364,44,9,2,578;3693,7,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,2,1,139.9,38,42,27,0.7105263157894737,0.7105263157894737,0.84375,32,10,0,,10,FIABLE,True,1.0,1.0,
llama3.1-8b-ctx16k,revisa,2,2,139.6,38,42,27,0.7105263157894737,0.6842105263157895,0.8125,32,10,1,5275,9,INCOMPLETO,False,0.857,1.0,
llama3.1-8b-ctx16k,revisa,3,1,99.1,26,32,18,0.6923076923076923,0.6923076923076923,0.6666666666666666,27,5,0,,5,INCOMPLETO,False,0.844,1.0,
llama3.1-8b-ctx16k,revisa,3,2,97.5,26,32,18,0.6923076923076923,0.6923076923076923,0.6923076923076923,26,6,0,,6,INCOMPLETO,False,0.938,1.0,
